group,aug,arch,short-exp-name,exp-name,,msmarco,trec-covid,bioasq,nfcorpus,nq,hotpotqa,fiqa,signal1m,trec-news,arguana,webis-touche2020,dbpedia-entity,scidocs,fever,climate-fever,scifact,robust04,quora,cqadupstack,msmarco%,trec-covid%,bioasq%,nfcorpus%,nq%,hotpotqa%,fiqa%,signal1m%,trec-news%,arguana%,webis-touche2020%,dbpedia-entity%,scidocs%,fever%,climate-fever%,scifact%,robust04%,quora%,cqadupstack%,msmarco±,trec-covid±,bioasq±,nfcorpus±,nq±,hotpotqa±,fiqa±,signal1m±,trec-news±,arguana±,webis-touche2020±,dbpedia-entity±,scidocs±,fever±,climate-fever±,scifact±,robust04±,quora±,cqadupstack±
Baseline,BM25,BM25,BM25-Baseline,BM25(BEIR+our touch2020),ndcg@10,0.228,0.656,0.465,0.325,0.329,0.603,0.236,0.330,0.398,0.315,0.347,0.313,0.158,0.753,0.213,0.665,0.408,0.789,0.299,0.11,1.39,#DIV/0!,0.02,0.30,0.25,-0.04,#DIV/0!,#DIV/0!,-0.17,1.08,0.07,0.06,0.10,0.37,0.02,#DIV/0!,-0.06,0.05,0.022,0.381,0.465,0.008,0.075,0.122,-0.009,0.330,0.398,-0.064,0.180,0.021,0.009,0.071,0.058,0.016,0.408,-0.046,0.015
ignore,Contriever,Contriever,Contriever-Baseline,fb-contriever.dot (BEIR changed Tóuche2020 dataset),ndcg@10,0.206,0.275,0.000,0.317,0.254,0.481,0.245,0.000,0.000,0.379,0.167,0.292,0.149,0.682,0.155,0.649,0.000,0.835,0.284,0.00,0.00,#DIV/0!,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#DIV/0!,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Baseline,SPAR,SPAR,SPAR-Baseline,spar-wiki-bm25,ndcg@10,0.193,0.531,0.000,0.265,0.262,0.572,0.185,0.000,0.000,0.420,0.234,0.281,0.134,0.569,0.164,0.627,0.000,0.704,0.279,-0.06,0.93,#DIV/0!,-0.17,0.03,0.19,-0.24,#DIV/0!,#DIV/0!,0.11,0.40,-0.04,-0.10,-0.17,0.06,-0.03,#DIV/0!,-0.16,-0.02,-0.013,0.257,0.000,-0.053,0.008,0.091,-0.060,0.000,0.000,0.041,0.068,-0.011,-0.015,-0.113,0.009,-0.023,0.000,-0.131,-0.005
ignore,SPAR,SPAR,SPAR-Baseline,spar-paq-bm25,ndcg@10,0.217,0.607,0.000,0.301,0.276,0.583,0.190,0.000,0.000,0.378,0.224,0.302,0.137,0.580,0.170,0.656,0.000,0.727,0.269,0.06,1.21,#DIV/0!,-0.05,0.09,0.21,-0.23,#DIV/0!,#DIV/0!,0.00,0.34,0.04,-0.08,-0.15,0.10,0.01,#DIV/0!,-0.13,-0.05,0.011,0.332,0.000,-0.016,0.022,0.102,-0.055,0.000,0.000,-0.001,0.057,0.010,-0.012,-0.102,0.015,0.007,0.000,-0.108,-0.015
Baseline,Spider,Spider,Spider-Baseline,tau/spider,ndcg@10,0.150,0.322,0.000,0.267,0.145,0.413,0.091,0.000,0.000,0.290,0.047,0.216,0.130,0.316,0.129,0.623,0.000,0.724,0.222,-0.27,0.17,#DIV/0!,-0.16,-0.43,-0.14,-0.63,#DIV/0!,#DIV/0!,-0.24,-0.72,-0.26,-0.13,-0.54,-0.17,-0.04,#DIV/0!,-0.13,-0.22,-0.056,0.047,0.000,-0.050,-0.109,-0.067,-0.154,0.000,0.000,-0.089,-0.120,-0.075,-0.019,-0.366,-0.026,-0.026,0.000,-0.111,-0.062
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomCrop,RC,Inbatch,Inbatch-RandomCrop,wikipsg.seed477.inbatch.contriever256.bert-base-uncased.avg.dot.qd256.step100k.bs1024.lr5e5,ndcg@10,0.140,0.238,0.000,0.137,0.202,0.320,0.094,0.000,0.000,0.432,0.029,0.192,0.081,0.233,0.108,0.524,0.000,0.768,0.181,-0.32,-0.13,#DIV/0!,-0.57,-0.20,-0.33,-0.62,#DIV/0!,#DIV/0!,0.14,-0.82,-0.34,-0.45,-0.66,-0.30,-0.19,#DIV/0!,-0.08,-0.36,-0.066,-0.036,0.000,-0.180,-0.051,-0.161,-0.151,0.000,0.000,0.053,-0.137,-0.099,-0.068,-0.449,-0.047,-0.125,0.000,-0.067,-0.103
RandomCrop,RC,MoCo,MoCo-RandomCrop,wikipsg.seed477.moco-2e14.contriever256.bert-base-uncased.avg.dot.qd256.step100k.bs1024.lr5e5,ndcg@10,0.175,0.355,0.000,0.228,0.251,0.421,0.138,0.000,0.000,0.385,0.069,0.220,0.121,0.405,0.157,0.609,0.000,0.767,0.208,-0.15,0.29,#DIV/0!,-0.28,-0.01,-0.12,-0.43,#DIV/0!,#DIV/0!,0.01,-0.59,-0.25,-0.19,-0.41,0.01,-0.06,#DIV/0!,-0.08,-0.27,-0.031,0.081,0.000,-0.089,-0.003,-0.060,-0.107,0.000,0.000,0.005,-0.098,-0.072,-0.028,-0.277,0.002,-0.040,0.000,-0.068,-0.077
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doc-Title,DocTitle,Inbatch,Inbatch-DocTitle,wikipsg.seed477.inbatch.contriever-256-Qtitle1.bert-base-uncased.avg.dot.qd128.step200k.bs1024.lr5e5,ndcg@10,0.147,0.377,0.000,0.275,0.226,0.416,0.136,0.000,0.000,0.247,0.172,0.288,0.109,0.609,0.134,0.454,0.000,0.616,0.141,-0.29,0.37,#DIV/0!,-0.13,-0.11,-0.13,-0.44,#DIV/0!,#DIV/0!,-0.35,0.03,-0.01,-0.27,-0.11,-0.14,-0.30,#DIV/0!,-0.26,-0.50,-0.059,0.103,0.000,-0.042,-0.028,-0.064,-0.109,0.000,0.000,-0.132,0.006,-0.004,-0.040,-0.074,-0.021,-0.195,0.000,-0.219,-0.143
Doc-Title,DocTitle+RC,Inbatch,Inbatch-DocTitle,wikipsg.seed477.inbatch.contriever-256-Qtitle50.bert-base-uncased.avg.dot.qd128.step200k.bs1024.lr5e5,ndcg@10,0.160,0.253,0.000,0.271,0.254,0.434,0.129,0.000,0.000,0.360,0.148,0.271,0.108,0.467,0.117,0.567,0.000,0.652,0.180,-0.22,-0.08,#DIV/0!,-0.15,0.00,-0.10,-0.47,#DIV/0!,#DIV/0!,-0.05,-0.12,-0.07,-0.28,-0.31,-0.25,-0.13,#DIV/0!,-0.22,-0.37,-0.045,-0.021,0.000,-0.046,0.001,-0.047,-0.116,0.000,0.000,-0.019,-0.019,-0.021,-0.041,-0.215,-0.038,-0.082,0.000,-0.183,-0.104
Doc-Title,DocTitle,MoCo,MoCo-DocTitle,wikipsg.seed477.moco-2e14.contriever-256-Qtitle1.bert-base-uncased.avg.dot.qd128.step200k.bs1024.lr5e5,ndcg@10,0.120,0.423,0.000,0.230,0.145,0.347,0.071,0.000,0.000,0.319,0.080,0.229,0.101,0.197,0.046,0.477,0.000,0.724,0.143,-0.42,0.54,#DIV/0!,-0.28,-0.43,-0.28,-0.71,#DIV/0!,#DIV/0!,-0.16,-0.52,-0.21,-0.33,-0.71,-0.70,-0.27,#DIV/0!,-0.13,-0.50,-0.086,0.149,0.000,-0.088,-0.109,-0.133,-0.174,0.000,0.000,-0.060,-0.087,-0.063,-0.049,-0.485,-0.109,-0.173,0.000,-0.111,-0.141
Doc-Title,DocTitle+RC,MoCo,MoCo-DocTitle,wikipsg.seed477.moco-2e14.contriever-256-Qtitle50.bert-base-uncased.avg.dot.qd128.step200k.bs1024.lr5e5,ndcg@10,0.185,0.404,0.000,0.268,0.278,0.474,0.158,0.000,0.000,0.380,0.107,0.280,0.129,0.498,0.138,0.603,0.000,0.767,0.229,-0.10,0.47,#DIV/0!,-0.16,0.10,-0.01,-0.35,#DIV/0!,#DIV/0!,0.00,-0.36,-0.04,-0.14,-0.27,-0.11,-0.07,#DIV/0!,-0.08,-0.19,-0.020,0.129,0.000,-0.050,0.025,-0.007,-0.087,0.000,0.000,0.000,-0.059,-0.012,-0.021,-0.184,-0.017,-0.046,0.000,-0.068,-0.055
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doc-Anchor,DocPhrase,Inbatch,Inbatch-DocPhrase,wiki.extphrase3.seed477.inbatch.bert-base-uncased.avg.dot.d128d256.step100k.bs1024.lr5e5,ndcg@10,0.140,0.238,0.000,0.137,0.202,0.320,0.094,0.000,0.000,0.432,0.029,0.192,0.081,0.233,0.108,0.524,0.000,0.768,0.181,-0.32,-0.13,#DIV/0!,-0.57,-0.20,-0.33,-0.62,#DIV/0!,#DIV/0!,0.14,-0.82,-0.34,-0.45,-0.66,-0.30,-0.19,#DIV/0!,-0.08,-0.36,-0.066,-0.036,0.000,-0.180,-0.051,-0.161,-0.151,0.000,0.000,0.053,-0.137,-0.099,-0.068,-0.449,-0.047,-0.125,0.000,-0.067,-0.103
Doc-Anchor,DocPhrase,Inbatch,Inbatch-DocPhrase,wiki.extphrase3-50.seed477.inbatch.bert-base-uncased.avg.dot.d128d256.step100k.bs1024.lr5e5,ndcg@10,0.159,0.282,0.000,0.262,0.217,0.371,0.122,0.000,0.000,0.368,0.079,0.279,0.112,0.199,0.097,0.581,0.000,0.736,0.181,-0.23,0.03,#DIV/0!,-0.17,-0.15,-0.23,-0.50,#DIV/0!,#DIV/0!,-0.03,-0.53,-0.04,-0.25,-0.71,-0.37,-0.11,#DIV/0!,-0.12,-0.36,-0.047,0.008,0.000,-0.055,-0.037,-0.110,-0.123,0.000,0.000,-0.012,-0.088,-0.012,-0.037,-0.484,-0.058,-0.068,0.000,-0.099,-0.103
Doc-Anchor,DocPhrase+RC,MoCo,MoCo-DocPhrase,wiki.extphrase3.seed477.moco-2e14.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.175,0.355,0.000,0.228,0.251,0.421,0.138,0.000,0.000,0.385,0.069,0.220,0.121,0.405,0.157,0.609,0.000,0.767,0.208,-0.15,0.29,#DIV/0!,-0.28,-0.01,-0.12,-0.43,#DIV/0!,#DIV/0!,0.01,-0.59,-0.25,-0.19,-0.41,0.01,-0.06,#DIV/0!,-0.08,-0.27,-0.031,0.081,0.000,-0.089,-0.003,-0.060,-0.107,0.000,0.000,0.005,-0.098,-0.072,-0.028,-0.277,0.002,-0.040,0.000,-0.068,-0.077
Doc-Anchor,DocPhrase+RC,MoCo,MoCo-DocPhrase,wiki.extphrase3-50.seed477.moco-2e14.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.180,0.407,0.000,0.268,0.284,0.455,0.148,0.000,0.000,0.363,0.148,0.301,0.130,0.467,0.171,0.599,0.000,0.763,0.224,-0.13,0.48,#DIV/0!,-0.15,0.12,-0.05,-0.40,#DIV/0!,#DIV/0!,-0.04,-0.12,0.03,-0.13,-0.32,0.11,-0.08,#DIV/0!,-0.09,-0.21,-0.026,0.133,0.000,-0.049,0.031,-0.026,-0.097,0.000,0.000,-0.016,-0.019,0.009,-0.019,-0.215,0.016,-0.051,0.000,-0.072,-0.060
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QExt-Self,QExt-SelfDot,Inbatch,Inbatch-QExtSelfdot,wiki.ExtQ-selfdot-chunk16.seed477.inbatch.contriever256-special.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.114,0.302,0.000,0.164,0.191,0.390,0.118,0.000,0.000,0.088,0.023,0.126,0.095,0.372,0.141,0.596,0.000,0.712,0.199,-0.44,0.10,#DIV/0!,-0.48,-0.25,-0.19,-0.52,#DIV/0!,#DIV/0!,-0.77,-0.86,-0.57,-0.36,-0.45,-0.09,-0.08,#DIV/0!,-0.15,-0.30,-0.091,0.027,0.000,-0.153,-0.062,-0.091,-0.127,0.000,0.000,-0.292,-0.144,-0.165,-0.054,-0.310,-0.014,-0.053,0.000,-0.123,-0.085
QExt-Self,QExt-self+RC,Inbatch,Inbatch-QExtSelfdot,wiki.ExtQ50-selfdot-chunk16.seed477.inbatch.contriever256-special.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.146,0.259,0.000,0.156,0.221,0.360,0.113,0.000,0.000,0.367,0.035,0.208,0.090,0.325,0.132,0.547,0.000,0.772,0.202,-0.29,-0.06,#DIV/0!,-0.51,-0.13,-0.25,-0.54,#DIV/0!,#DIV/0!,-0.03,-0.79,-0.28,-0.40,-0.52,-0.15,-0.16,#DIV/0!,-0.08,-0.29,-0.060,-0.016,0.000,-0.161,-0.032,-0.121,-0.132,0.000,0.000,-0.012,-0.132,-0.083,-0.059,-0.357,-0.023,-0.103,0.000,-0.063,-0.082
QExt-Self,QExt-selfdot,MoCo,MoCo-QExtSelfdot,wiki.ExtQ-selfdot-chunk16.seed477.moco-2e14.contriever256-special.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.099,0.291,0.000,0.161,0.140,0.281,0.091,0.000,0.000,0.022,0.044,0.187,0.080,0.187,0.108,0.384,0.000,0.693,0.149,-0.52,0.06,#DIV/0!,-0.49,-0.45,-0.41,-0.63,#DIV/0!,#DIV/0!,-0.94,-0.74,-0.36,-0.47,-0.73,-0.30,-0.41,#DIV/0!,-0.17,-0.48,-0.107,0.016,0.000,-0.156,-0.114,-0.199,-0.154,0.000,0.000,-0.357,-0.123,-0.104,-0.070,-0.496,-0.047,-0.265,0.000,-0.142,-0.135
QExt-Self,QExt-selfdot+RC,MoCo,MoCo-QExtSelfdot,wiki.ExtQ50-selfdot-chunk16.seed477.moco-2e14.contriever256-special.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.122,0.278,0.000,0.143,0.170,0.312,0.087,0.000,0.000,0.297,0.045,0.194,0.085,0.201,0.108,0.404,0.000,0.686,0.141,-0.41,0.01,#DIV/0!,-0.55,-0.33,-0.35,-0.64,#DIV/0!,#DIV/0!,-0.22,-0.73,-0.33,-0.43,-0.71,-0.31,-0.38,#DIV/0!,-0.18,-0.50,-0.084,0.004,0.000,-0.174,-0.084,-0.169,-0.158,0.000,0.000,-0.082,-0.121,-0.098,-0.064,-0.482,-0.047,-0.245,0.000,-0.149,-0.143
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QExt-BM25,QExt-bm25,Inbatch,Inbatch-QExtBM25,wiki.ExtQ-bm25-chunk16.seed477.inbatch.contriever256-special.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.114,0.302,0.000,0.164,0.191,0.390,0.118,0.000,0.000,0.088,0.023,0.126,0.095,0.372,0.141,0.596,0.000,0.712,0.199,-0.44,0.10,#DIV/0!,-0.48,-0.25,-0.19,-0.52,#DIV/0!,#DIV/0!,-0.77,-0.86,-0.57,-0.36,-0.45,-0.09,-0.08,#DIV/0!,-0.15,-0.30,-0.091,0.027,0.000,-0.153,-0.062,-0.091,-0.127,0.000,0.000,-0.292,-0.144,-0.165,-0.054,-0.310,-0.014,-0.053,0.000,-0.123,-0.085
QExt-BM25,QExt-bm25+RC,Inbatch,Inbatch-QExtBM25,wiki.ExtQ50-bm25-chunk16.seed477.inbatch.contriever256-special.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.153,0.282,0.000,0.180,0.223,0.353,0.128,0.000,0.000,0.278,0.034,0.181,0.097,0.276,0.124,0.580,0.000,0.769,0.214,-0.26,0.03,#DIV/0!,-0.43,-0.12,-0.27,-0.48,#DIV/0!,#DIV/0!,-0.27,-0.79,-0.38,-0.35,-0.60,-0.20,-0.11,#DIV/0!,-0.08,-0.25,-0.053,0.007,0.000,-0.137,-0.030,-0.128,-0.117,0.000,0.000,-0.102,-0.133,-0.111,-0.052,-0.406,-0.031,-0.069,0.000,-0.066,-0.071
QExt-BM25,QExt-bm25,MoCo,MoCo-QExtBM25,wiki.ExtQ-bm25-chunk16.seed477.moco-2e14.contriever256-special.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.158,0.195,0.000,0.215,0.183,0.366,0.097,0.000,0.000,0.162,0.035,0.196,0.101,0.213,0.071,0.526,0.000,0.660,0.218,-0.23,-0.29,#DIV/0!,-0.32,-0.28,-0.24,-0.60,#DIV/0!,#DIV/0!,-0.57,-0.79,-0.33,-0.32,-0.69,-0.54,-0.19,#DIV/0!,-0.21,-0.23,-0.047,-0.079,0.000,-0.103,-0.071,-0.114,-0.148,0.000,0.000,-0.218,-0.132,-0.095,-0.048,-0.469,-0.084,-0.124,0.000,-0.175,-0.066
QExt-BM25,QExt-bm25+RC,MoCo,MoCo-QExtBM25,wiki.ExtQ50-bm25-chunk16.seed477.moco-2e14.contriever256-special.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.171,0.292,0.000,0.253,0.243,0.409,0.150,0.000,0.000,0.356,0.090,0.175,0.126,0.269,0.167,0.585,0.000,0.759,0.226,-0.17,0.06,#DIV/0!,-0.20,-0.04,-0.15,-0.39,#DIV/0!,#DIV/0!,-0.06,-0.46,-0.40,-0.15,-0.61,0.08,-0.10,#DIV/0!,-0.09,-0.20,-0.035,0.018,0.000,-0.064,-0.011,-0.071,-0.095,0.000,0.000,-0.024,-0.077,-0.116,-0.023,-0.413,0.012,-0.065,0.000,-0.076,-0.058
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QExt-PLM,QExt-plm,Inbatch,Inbatch-QExtPLM,wiki.ExtQ-plm-chunk16.seed477.inbatch.contriever256-special.bert-base-uncased.avg.dot.qd128.step100k.bs1024.lr5e5,ndcg@10,0.150,0.284,0.000,0.151,0.268,0.312,0.141,0.000,0.000,0.039,0.089,0.169,0.106,0.458,0.124,0.570,0.000,0.764,0.212,-0.27,0.03,#DIV/0!,-0.52,0.06,-0.35,-0.42,#DIV/0!,#DIV/0!,-0.90,-0.47,-0.42,-0.29,-0.33,-0.20,-0.12,#DIV/0!,-0.08,-0.25,-0.056,0.009,0.000,-0.166,0.014,-0.168,-0.104,0.000,0.000,-0.341,-0.078,-0.122,-0.043,-0.224,-0.031,-0.079,0.000,-0.071,-0.072
QExt-PLM,QExt-plm+RC,Inbatch,Inbatch-QExtPLM,wiki.ExtQ50-plm-chunk16.seed477.inbatch.contriever256-special.bert-base-uncased.avg.dot.qd128.step100k.bs1024.lr5e5,ndcg@10,0.151,0.280,0.000,0.218,0.250,0.348,0.128,0.000,0.000,0.111,0.081,0.216,0.104,0.397,0.138,0.571,0.000,0.771,0.218,-0.26,0.02,#DIV/0!,-0.31,-0.01,-0.28,-0.48,#DIV/0!,#DIV/0!,-0.71,-0.52,-0.26,-0.30,-0.42,-0.11,-0.12,#DIV/0!,-0.08,-0.23,-0.054,0.005,0.000,-0.100,-0.004,-0.132,-0.117,0.000,0.000,-0.269,-0.086,-0.076,-0.045,-0.285,-0.017,-0.079,0.000,-0.064,-0.066
