group,aug,arch,short-exp-name,exp-name,metric,msmarco,trec-covid,bioasq,nfcorpus,nq,hotpotqa,fiqa,signal1m,trec-news,arguana,webis-touche2020,dbpedia-entity,scidocs,fever,climate-fever,scifact,robust04,quora,cqadupstack,Avg-11 (CPT),Avg-13 (Aggretriever),Avg-14 (public),Avg-14+MM,BM25,Contriever,SPAR,Spider,SQ-3 (<7),MQ-8 (8-13),LQ-3 (>17),xSD-1,SD-3 (<60),MD-6 (75-150),LD-6 (>160),Phrase-2,Question-7,Sentence-5,MM-1,Wiki-5,NonWiki-9,Scientific-4,BioMed-2,QA-3,Argument-2,Entity-1,FactCheck-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QExt-PLM,QExt-PLM,MoCo,MoCo-QExt-PLM,wiki.ExtQ-plm-chunk16.seed477.moco-2e14.contriever256-special.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.167,0.260,0.000,0.241,0.231,0.345,0.128,0.000,0.000,0.445,0.119,0.223,0.115,0.267,0.106,0.574,0.000,0.786,0.213,31.8,29.5,29.0,28.1,42.0,36.9,37.3,28.1,19.5,32.2,29.9,78.6,45.1,18.9,29.2,23.2,29.8,30.1,16.7,23.5,32.0,29.8,25.1,23.5,28.2,22.3,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QExt-PLM,QExt-PLM+RC,MoCo,MoCo-QExt-PLM+RC,wiki.ExtQ50-plm-chunk16.seed477.moco-2e14.contriever256-special.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.186,0.440,0.000,0.265,0.286,0.448,0.155,0.000,0.000,0.323,0.150,0.246,0.121,0.530,0.208,0.609,0.000,0.786,0.230,37.8,35.1,34.3,33.2,42.0,36.9,37.3,28.1,22.0,39.5,32.6,78.6,49.3,28.2,31.8,25.6,35.6,35.8,18.6,34.4,34.2,35.9,35.3,29.7,23.7,24.6,44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,36.9,37.3,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Topic,TQGen-Topic,Inbatch,Inbatch-TQGen-Topic,wiki.T03b_topic.seed477.inbatch.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.213,0.624,0.000,0.303,0.297,0.543,0.212,0.000,0.000,0.328,0.214,0.316,0.135,0.677,0.159,0.609,0.000,0.769,0.258,43.2,39.9,38.9,37.7,42.0,36.9,37.3,28.1,27.8,44.8,34.3,76.9,54.3,32.1,36.9,30.9,41.7,38.1,21.3,39.8,38.3,41.7,46.3,35.1,27.1,31.6,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Topic,TQGen-Topic+RC,Inbatch,Inbatch-TQGen-Topic+RC,wiki_T03b_topic50.seed477.inbatch.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.215,0.562,0.000,0.300,0.312,0.522,0.229,0.000,0.000,0.420,0.171,0.307,0.139,0.563,0.142,0.636,0.000,0.785,0.265,42.1,39.1,38.2,37.1,42.0,36.9,37.3,28.1,25.9,43.6,36.1,78.5,53.8,30.2,37.1,30.3,40.6,38.0,21.5,36.9,39.0,40.9,43.1,35.4,29.5,30.7,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Topic,TQGen-Topic,MoCo,MoCo-TQGen-Topic,wiki.T03b_topic.seed477.moco-2e14.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.154,0.511,0.000,0.248,0.160,0.394,0.138,0.000,0.000,0.329,0.099,0.226,0.119,0.303,0.122,0.498,0.000,0.760,0.171,33.0,30.0,29.1,28.2,42.0,36.9,37.3,28.1,19.1,33.2,28.2,76.0,46.0,17.9,30.1,23.7,31.9,27.4,15.4,24.1,31.9,34.4,37.9,23.1,21.4,22.6,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Topic,TQGen-Topic+RC,MoCo,MoCo-TQGen-Topic+RC,wiki_T03b_topic50.seed477.moco-2e14.contriever-256.bert-base-uncased.avg.dot.maxlen256.step100k.bs1024.lr5e5,ndcg@10,0.211,0.655,0.000,0.285,0.296,0.535,0.188,0.000,0.000,0.396,0.233,0.305,0.141,0.557,0.173,0.626,0.000,0.800,0.257,43.2,39.9,38.9,37.7,42.0,36.9,37.3,28.1,25.4,44.1,36.0,80.2,54.6,29.4,37.7,28.7,41.6,37.7,21.3,36.9,39.2,42.0,44.9,34.8,29.1,29.8,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,36.9,37.3,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Title,TQGen-Title,Inbatch,Inbatch-TQGen-Title,wiki.T03b_title.seed477.inbatch.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.208,0.586,0.000,0.301,0.310,0.520,0.226,0.000,0.000,0.320,0.204,0.304,0.142,0.697,0.165,0.616,0.000,0.782,0.258,24.4,39.8,38.8,37.6,42.0,36.9,37.3,28.1,27.0,45.2,33.5,78.2,53.5,33.1,36.1,30.3,41.2,38.8,20.8,39.9,38.2,41.1,44.4,35.2,26.2,30.4,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Title,TQGen-Title+RC,Inbatch,Inbatch-TQGen-Title+RC,wiki.T03b_title.seed477.moco-2e14.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.185,0.611,0.000,0.247,0.214,0.462,0.148,0.000,0.000,0.278,0.134,0.233,0.124,0.353,0.128,0.546,0.000,0.744,0.198,18.1,32.5,31.6,30.7,42.0,36.9,37.3,28.1,23.6,42.9,33.2,77.3,50.2,30.6,35.0,28.5,37.8,38.4,20.9,35.5,37.3,39.2,39.1,32.9,26.7,28.2,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Title,TQGen-Title,MoCo,MoCo-TQGen-Title,wiki_T03b_title50.seed477.inbatch.bert-base-uncased.avg.dot.maxlen256.step100k.bs1024.lr5e5,ndcg@10,0.209,0.493,0.000,0.288,0.307,0.451,0.227,0.000,0.000,0.397,0.137,0.282,0.144,0.586,0.150,0.642,0.000,0.773,0.258,22.7,37.5,36.7,35.6,42.0,36.9,37.3,28.1,20.5,36.7,28.9,74.4,48.0,20.8,32.3,24.0,35.9,28.6,18.5,27.8,33.7,38.2,42.9,27.5,20.6,23.3,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Title,TQGen-Title+RC,MoCo,MoCo-TQGen-Title+RC,wiki_T03b_title50.seed477.moco-2e14.contriever-256.bert-base-uncased.avg.dot.maxlen256.step100k.bs1024.lr5e5,ndcg@10,0.216,0.645,0.000,0.278,0.299,0.521,0.203,0.000,0.000,0.377,0.237,0.287,0.136,0.569,0.178,0.634,0.000,0.777,0.251,23.8,39.5,38.5,37.4,42.0,36.9,37.3,28.1,26.7,43.9,35.9,77.7,52.8,30.0,38.4,28.2,41.9,37.9,21.6,37.1,39.3,42.3,46.1,34.1,30.7,28.7,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,36.9,37.3,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Absum,TQGen-AbSum,Inbatch,Inbatch-TQGen-AbSum,wiki.T03b_absum.seed477.inbatch.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.174,0.512,0.000,0.277,0.272,0.468,0.208,0.000,0.000,0.353,0.155,0.265,0.141,0.640,0.161,0.605,0.000,0.778,0.253,22.4,37.2,36.3,35.1,42.0,36.9,37.3,28.1,23.2,42.6,32.7,77.8,50.4,30.7,34.1,27.1,37.8,38.0,17.4,36.1,36.5,38.4,39.5,31.6,25.4,26.5,46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Absum,TQGen-AbSum+RC,Inbatch,Inbatch-TQGen-AbSum+RC,wiki.T03b_absum.seed477.moco-2e14.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.212,0.533,0.000,0.253,0.259,0.456,0.173,0.000,0.000,0.412,0.157,0.247,0.136,0.405,0.157,0.598,0.000,0.710,0.212,20.7,34.6,33.6,32.8,42.0,36.9,37.3,28.1,21.3,39.3,32.5,77.3,47.8,27.6,32.4,25.4,34.5,36.7,17.0,32.1,35.0,35.1,33.2,28.6,26.9,24.5,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Absum,TQGen-AbSum,MoCo,MoCo-TQGen-AbSum,wiki_T03b_absum50.seed477.inbatch.bert-base-uncased.avg.dot.maxlen256.step100k.bs1024.lr5e5,ndcg@10,0.170,0.401,0.000,0.262,0.256,0.417,0.187,0.000,0.000,0.407,0.131,0.245,0.137,0.535,0.152,0.606,0.000,0.773,0.250,20.9,34.7,34.0,32.8,42.0,36.9,37.3,28.1,21.9,37.8,34.1,71.0,47.1,24.1,34.8,25.0,35.7,34.2,21.2,30.5,35.4,38.0,39.3,29.6,28.5,24.7,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Absum,TQGen-AbSum+RC,MoCo,MoCo-TQGen-AbSum+RC,wiki_T03b_absum50.seed477.moco-2e14.contriever-256.bert-base-uncased.avg.dot.maxlen256.step100k.bs1024.lr5e5,ndcg@10,0.212,0.613,0.000,0.255,0.310,0.522,0.197,0.000,0.000,0.382,0.201,0.274,0.134,0.560,0.191,0.615,0.000,0.730,0.224,23.4,38.3,37.2,36.1,42.0,36.9,37.3,28.1,24.3,42.3,36.5,73.0,50.9,29.7,36.7,26.5,40.0,37.6,21.2,37.1,37.2,40.4,43.4,34.3,29.2,27.4,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,36.9,37.3,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Exsum,TQGen-ExSum,Inbatch,Inbatch-TQGen-ExSum,wiki.T03b_exsum.seed477.inbatch.bert-base-uncased.avg.dot.maxlen256.step100k.bs1024.lr5e5,ndcg@10,0.182,0.464,0.000,0.279,0.307,0.467,0.209,0.000,0.000,0.343,0.138,0.273,0.140,0.678,0.164,0.618,0.000,0.794,0.266,40.2,37.5,36.7,35.5,42.0,36.9,37.3,28.1,23.0,43.5,32.4,79.4,51.1,32.5,33.0,27.6,37.8,38.9,18.2,37.8,36.1,37.5,37.2,32.8,24.0,27.3,48.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Exsum,TQGen-ExSum+RC,Inbatch,Inbatch-TQGen-ExSum+RC,wiki_T03b_exsum50.seed77.inbatch.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.176,0.380,0.000,0.265,0.261,0.391,0.201,0.000,0.000,0.400,0.130,0.250,0.133,0.539,0.137,0.609,0.000,0.792,0.256,37.2,34.5,33.9,32.8,42.0,36.9,37.3,28.1,21.5,39.6,30.9,79.2,47.8,27.9,31.9,25.7,34.4,36.4,17.6,31.5,35.2,34.7,32.2,28.4,26.5,25.0,42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Exsum,TQGen-ExSum,MoCo,MoCo-TQGen-ExSum,wiki.T03b_exsum.seed477.moco-2e14.contriever256.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.228,0.608,0.000,0.267,0.311,0.519,0.187,0.000,0.000,0.365,0.162,0.285,0.136,0.479,0.158,0.645,0.000,0.736,0.232,40.1,37.4,36.4,35.4,42.0,36.9,37.3,28.1,23.8,41.7,34.7,73.6,51.3,27.3,36.4,27.6,39.4,35.7,22.8,35.0,37.1,41.4,43.7,33.9,26.4,28.5,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQGen-Exsum,TQGen-ExSum+RC,MoCo,MoCo-TQGen-ExSum+RC,wiki_T03b_exsum50.seed477.moco-2e14.contriever-256.bert-base-uncased.avg.dot.maxlen256.step100k.bs1024.lr5e5,ndcg@10,0.225,0.579,0.000,0.270,0.326,0.549,0.194,0.000,0.000,0.399,0.176,0.304,0.134,0.576,0.175,0.627,0.000,0.750,0.243,41.8,38.9,37.9,36.8,42.0,36.9,37.3,28.1,25.0,42.9,37.4,75.0,53.4,30.3,36.4,28.7,40.2,38.2,22.5,38.6,37.5,40.2,42.4,35.6,28.7,30.4,45.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,36.9,37.3,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QGen-D2Q,QGen-D2Q,Inbatch,Inbatch-QGen-D2Q,wiki.doc2query-t2q.seed477.inbatch.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.254,0.583,0.000,0.261,0.398,0.553,0.236,0.000,0.000,0.289,0.172,0.310,0.117,0.679,0.217,0.592,0.000,0.777,0.204,42.5,39.9,38.5,37.6,42.0,36.9,37.3,28.1,24.8,44.8,35.3,77.7,54.7,34.7,33.6,28.5,41.8,37.9,25.4,43.2,35.9,38.8,42.2,39.6,23.1,31.0,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QGen-D2Q,QGen-D2Q+RC,Inbatch,Inbatch-QGen-D2Q+RC,wiki_doc2query50.seed477.inbatch.bert-base-uncased.avg.dot.maxlen256.step100k.bs1024.lr5e5,ndcg@10,0.235,0.531,0.000,0.227,0.396,0.545,0.225,0.000,0.000,0.410,0.147,0.273,0.109,0.440,0.131,0.600,0.000,0.629,0.228,37.8,35.9,34.9,34.2,42.0,36.9,37.3,28.1,21.6,39.5,36.2,62.9,48.2,28.4,33.7,25.0,38.6,33.8,23.5,35.7,34.5,36.7,37.9,38.9,27.8,27.3,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QGen-D2Q,QGen-D2Q,MoCo,MoCo-QGen-D2Q,wiki.doc2query-t2q.seed477.moco-2e14.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.163,0.425,0.000,0.197,0.198,0.380,0.123,0.000,0.000,0.325,0.083,0.251,0.097,0.266,0.109,0.464,0.000,0.753,0.177,30.7,28.2,27.5,26.7,42.0,36.9,37.3,28.1,17.7,31.3,27.1,75.3,46.1,17.4,26.5,22.4,30.6,25.2,16.3,24.1,29.4,29.6,31.1,23.4,20.4,25.1,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QGen-D2Q,QGen-D2Q+RC,MoCo,MoCo-QGen-D2Q+RC,wiki_doc2query50.seed477.moco-2e14.contriever-256.bert-base-uncased.avg.dot.maxlen256.step100k.bs1024.lr5e5,ndcg@10,0.237,0.649,0.000,0.262,0.359,0.553,0.221,0.000,0.000,0.368,0.211,0.281,0.128,0.503,0.179,0.623,0.000,0.799,0.254,42.3,39.5,38.5,37.5,42.0,36.9,37.3,28.1,25.1,44.2,36.7,79.9,54.4,30.3,37.3,27.2,43.5,36.0,23.7,37.5,39.1,41.6,45.6,37.8,28.9,28.1,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,36.9,37.3,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QGen-PAQ,QGen-PAQ,Inbatch,Inbatch-QGen-PAQ,paq-cropdoc.seed477.inbatch.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.223,0.493,0.000,0.193,0.426,0.559,0.164,0.000,0.000,0.020,0.128,0.241,0.103,0.422,0.105,0.550,0.000,0.740,0.201,32.9,31.9,31.0,30.4,42.0,36.9,37.3,28.1,18.8,38.7,22.8,74.0,51.3,26.4,24.8,21.7,38.7,24.0,22.3,35.1,28.8,33.5,34.3,38.3,7.4,24.1,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QGen-PAQ,QGen-PAQ+RC,Inbatch,Inbatch-QGen-PAQ+RC,paq-cropdoc.seed477.moco-2e14.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.191,0.259,0.000,0.250,0.260,0.468,0.152,0.000,0.000,0.395,0.126,0.267,0.111,0.350,0.108,0.529,0.000,0.811,0.199,33.8,31.4,30.6,29.8,42.0,36.9,37.3,28.1,21.5,33.4,32.4,81.1,51.6,21.4,27.8,25.9,32.5,29.8,19.1,29.1,31.5,28.7,25.5,29.3,26.0,26.7,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QGen-PAQ,QGen-PAQ,MoCo,MoCo-QGen-PAQ,paq50.seed477.inbatch.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.214,0.372,0.000,0.249,0.366,0.523,0.164,0.000,0.000,0.104,0.165,0.288,0.102,0.455,0.088,0.597,0.000,0.749,0.237,34.1,32.5,31.8,31.2,42.0,36.9,37.3,28.1,23.4,38.0,23.8,74.9,52.0,26.2,26.5,26.8,36.8,26.9,21.4,34.4,30.4,33.0,31.0,35.1,13.4,28.8,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QGen-PAQ,QGen-PAQ+RC,MoCo,MoCo-QGen-PAQ+RC,paq50.seed477.moco-2e14.bert-base-uncased.avg.dot.q128d256.step100k.bs1024.lr5e5,ndcg@10,0.226,0.284,0.000,0.231,0.267,0.498,0.147,0.000,0.000,0.320,0.107,0.266,0.097,0.314,0.057,0.539,0.000,0.823,0.237,32.6,30.4,29.9,29.4,42.0,36.9,37.3,28.1,20.1,33.8,29.2,82.3,52.9,20.4,26.3,24.9,33.8,26.5,22.6,28.0,31.0,28.8,25.7,30.4,21.4,26.6,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,36.9,37.3,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,36.9,37.3,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,36.9,37.3,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,36.9,37.3,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,36.9,37.3,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,